event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
0,1,83,-5.522,-14.992,18.418,-0.208,0.548,-0.810,78.913,1.000,81.875,520.631,2.393
0,1,84,-5.528,-14.976,18.394,-0.482,0.701,-0.526,56.541,0.030,81.904,410.965,0.562
0,1,85,-5.971,-14.333,17.911,0.331,0.930,-0.160,93.700,1.000,82.904,408.437,2.528
0,1,86,-5.668,-13.480,17.764,0.557,0.827,0.068,105.073,1.000,83.904,400.894,7.543
0,1,87,-5.158,-12.723,17.827,0.674,0.738,-0.036,114.619,1.000,84.904,387.229,13.666
0,1,88,-4.544,-12.051,17.794,0.696,0.672,0.254,113.468,1.000,85.904,383.538,3.690
0,1,89,-3.912,-11.440,18.025,0.816,0.564,-0.130,128.290,1.000,86.904,378.420,5.118
0,1,90,-3.171,-10.929,17.907,0.524,0.846,0.101,102.529,1.000,87.904,374.889,3.532
0,1,91,-2.697,-10.162,17.998,0.468,-0.550,0.692,117.342,1.000,88.904,368.998,5.890
0,1,92,-2.274,-10.660,18.623,0.835,-0.548,-0.060,162.471,1.000,89.904,365.427,3.571
0,1,93,-1.520,-11.154,18.570,0.547,-0.624,0.558,125.642,1.000,90.904,359.379,6.048
0,1,94,-1.027,-11.715,19.072,0.610,-0.055,0.791,115.110,1.000,91.904,354.754,4.625
0,1,95,-0.479,-11.765,19.783,0.150,0.440,0.885,80.171,1.000,92.904,348.443,6.311
0,1,96,-0.345,-11.371,20.576,0.219,0.083,0.972,88.981,1.000,93.904,343.007,5.436
0,1,97,-0.149,-11.296,21.445,-0.155,0.545,0.824,61.719,1.000,94.904,330.586,12.420
0,1,98,-0.286,-10.812,22.177,0.303,0.198,0.932,91.952,1.000,95.904,322.106,8.480
0,1,99,-0.019,-10.637,23.001,0.553,-0.664,-0.503,144.645,1.000,96.904,315.833,6.273
0,1,100,0.468,-11.222,22.558,-0.054,-0.996,0.076,103.309,1.000,97.904,311.552,4.281
0,1,101,0.421,-12.097,22.624,0.310,-0.521,-0.795,127.291,1.000,98.904,301.829,9.723
0,1,102,0.692,-12.551,21.930,-0.064,-0.400,-0.914,104.195,1.000,99.904,294.685,7.144
0,1,103,0.636,-12.898,21.136,-0.396,0.086,-0.914,77.923,1.000,100.904,288.103,6.582
